,HPO_LABEL,ORPHA,HPO,DOID_MAP,EDGES_TO_DOID
0,Neurogenic bladder,2710,0000011,12143,0060291
1,Cleft palate,2710,0000175,674,0060291
2,Cleft lip,2710,0410030,9296,0060291
3,Strabismus,2710,0000486,540,0060291
4,Glaucoma,2710,0000501,1686,0060291
5,Cataract,2710,0000518,83,0060291
6,Myopia,2710,0000545,11830,0060291
7,Optic atrophy,2710,0000648,5723,0060291
8,Brachydactyly,2710,0001156,0050581,0060291
9,Syndactyly,2710,0001159,11193,0060291
10,Intellectual disability,2710,0001249,1059,0060291
11,Umbilical hernia,2710,0001537,0060321,0060291
12,Ventricular septal defect,2710,0001629,1657,0060291
13,Hypoglycemia,2710,0001943,9993,0060291
14,Hyperostosis,2710,0100774,205,0060291
15,Tooth agenesis,2710,0009804,0050591,0060291
16,Polydactyly,2710,0010442,1148,0060291
17,Bladder diverticulum,198,0000015,11353,0111272
18,Inguinal hernia,198,0000023,0060320,0111272
19,Osteoporosis,198,0000939,11476,0111272
20,Brachydactyly,198,0001156,0050581,0111272
21,Intellectual disability,198,0001249,1059,0111272
22,Cholestasis,198,0001396,13580,0111272
23,Hiatus hernia,198,0002036,12642,0111272
24,Esophagitis,198,0100633,11963,0111272
25,Gastroparesis,198,0002578,11914,0111272
26,Scoliosis,198,0002650,0060249,0111272
27,Rickets,198,0002748,10609,0111272
28,Osteomalacia,198,0002749,10573,0111272
29,Venous insufficiency,198,0005293,10128,0111272
30,Hepatitis,198,0012115,2237,0111272
31,Bladder diverticulum,565,0000015,11353,1838
32,Inguinal hernia,565,0000023,0060320,1838
33,Microcephaly,565,0000252,10907,1838
34,Chondrocalcinosis,565,0000934,1156,1838
35,Osteoporosis,565,0000939,11476,1838
36,Intellectual disability,565,0001249,1059,1838
37,Cholestasis,565,0001396,13580,1838
38,Umbilical hernia,565,0001537,0060321,1838
39,Hypoglycemia,565,0001943,9993,1838
40,Osteomyelitis,565,0002754,1019,1838
41,Venous insufficiency,565,0005293,10128,1838
42,Inguinal hernia,2308,0000023,0060320,0111723
43,Cryptorchidism,2308,0000028,11383,0111723
44,Hydronephrosis,2308,0000126,11111,0111723
45,Strabismus,2308,0000486,540,0111723
46,Ptosis,2308,0000508,0060260,0111723
47,Cataract,2308,0000518,83,0111723
48,Coloboma,2308,0000589,12270,0111723
49,Ectropion,2308,0000656,1570,0111723
50,Syndactyly,2308,0001159,11193,0111723
51,Intellectual disability,2308,0001249,1059,0111723
52,Lissencephaly,2308,0001339,0050453,0111723
53,Ventricular septal defect,2308,0001629,1657,0111723
54,Aortic valve stenosis,2308,0001650,1712,0111723
55,Annular pancreas,2308,0001734,0060850,0111723
56,Thrombocytopenia,2308,0001873,1588,0111723
57,Constipation,2308,0002019,2089,0111723
58,Pyloric stenosis,2308,0002021,12639,0111723
59,Duodenal atresia,2308,0002247,0080216,0111723
60,Spina bifida,2308,0002414,0080016,0111723
61,Schizophrenia,2308,0100753,5419,0111723
62,Scoliosis,2308,0002650,0060249,0111723
63,Attention deficit hyperactivity disorder,2308,0007018,1094,0111723
64,Polydactyly,2308,0010442,1148,0111723
65,Intestinal atresia,2308,0011100,10486,0111723
66,Neural tube defect,2308,0045005,0080074,0111723
67,Inguinal hernia,93,0000023,0060320,0050461
68,Gingival overgrowth,93,0000212,3086,0050461
69,Otitis media,93,0000388,10754,0050461
70,Intellectual disability,93,0001249,1059,0050461
71,Arthritis,93,0001369,848,0050461
72,Umbilical hernia,93,0001537,0060321,0050461
73,Scoliosis,93,0002650,0060249,0050461
74,Aspartylglucosaminuria,93,0012068,0050461,0050461
75,Inguinal hernia,2658,0000023,0060320,0111507
76,Cryptorchidism,2658,0000028,11383,0111507
77,Hypospadias,2658,0000047,10892,0111507
78,Hypogonadism,2658,0000135,1924,0111507
79,Cleft palate,2658,0000175,674,0111507
80,Cleft soft palate,2658,0000185,0110214,0111507
81,Hydrocephalus,2658,0000238,10908,0111507
82,Choanal atresia,2658,0000453,9574,0111507
83,Cutis laxa,2658,0000973,3144,0111507
84,Brachydactyly,2658,0001156,0050581,0111507
85,Syndactyly,2658,0001159,11193,0111507
86,Intellectual disability,2658,0001249,1059,0111507
87,Hyperostosis,2658,0100774,205,0111507
88,Scoliosis,2658,0002650,0060249,0111507
89,Osteopetrosis,2658,0011002,13533,0111507
90,Ankylosis,2658,0031013,227,0111507
91,Inguinal hernia,672,0000023,0060320,9248
92,Cryptorchidism,672,0000028,11383,9248
93,Hypospadias,672,0000047,10892,9248
94,Renal agenesis,672,0000104,14766,9248
95,Cleft palate,672,0000175,674,9248
96,Cleft soft palate,672,0000185,0110214,9248
97,Cleft lip,672,0410030,9296,9248
98,Choanal atresia,672,0000453,9574,9248
99,Ptosis,672,0000508,0060260,9248
100,Microphthalmia,672,0000568,10629,9248
101,Hypothyroidism,672,0000821,1459,9248
102,Panhypopituitarism,672,0000871,9410,9248
103,Hemangioma,672,0001028,255,9248
104,Brachydactyly,672,0001156,0050581,9248
105,Syndactyly,672,0001159,11193,9248
106,Intellectual disability,672,0001249,1059,9248
107,Cerebellar hypoplasia,672,0001321,0070338,9248
108,Holoprosencephaly,672,0001360,4621,9248
109,Umbilical hernia,672,0001537,0060321,9248
110,Oligohydramnios,672,0001562,12215,9248
111,Ventricular septal defect,672,0001629,1657,9248
112,Patent ductus arteriosus,672,0001643,13832,9248
113,Anencephaly,672,0002323,0060668,9248
114,Capillary hemangioma,672,0005306,2725,9248
115,Distal arthrogryposis,672,0005684,0050646,9248
116,Hypopituitarism,672,0040075,9406,9248
117,Polydactyly,672,0010442,1148,9248
118,Adrenocorticotropic hormone deficiency,672,0011748,0080150,9248
119,Inguinal hernia,90348,0000023,0060320,0070142
122,Cutis laxa,90348,0000973,3144,0070142
125,Umbilical hernia,90348,0001537,0060321,0070142
128,Aortic aneurysm,90348,0004942,3627,0070142
131,Inguinal hernia,2789,0000023,0060320,0111343
132,Cryptorchidism,2789,0000028,11383,0111343
133,Ptosis,2789,0000508,0060260,0111343
134,Coloboma,2789,0000589,12270,0111343
135,Umbilical hernia,2789,0001537,0060321,0111343
136,Ventricular septal defect,2789,0001629,1657,0111343
137,Spina bifida,2789,0002414,0080016,0111343
138,Meningocele,2789,0002435,1088,0111343
139,Hyperostosis,2789,0100774,205,0111343
140,Scoliosis,2789,0002650,0060249,0111343
141,Syringomyelia,2789,0003396,327,0111343
142,Neural tube defect,2789,0045005,0080074,0111343
143,Inguinal hernia,36,0000023,0060320,9250
145,Cryptorchidism,36,0000028,11383,9250
147,Hypospadias,36,0000047,10892,9250
149,Congenital diaphragmatic hernia,36,0000776,3827,9250
151,Intellectual disability,36,0001249,1059,9250
153,Cerebellar hypoplasia,36,0001321,0070338,9250
155,Polydactyly,36,0010442,1148,9250
157,Inguinal hernia,3447,0000023,0060320,14731
161,Cryptorchidism,3447,0000028,11383,14731
165,Cutis laxa,3447,0000973,3144,14731
169,Syndactyly,3447,0001159,11193,14731
173,Intellectual disability,3447,0001249,1059,14731
177,Scoliosis,3447,0002650,0060249,14731
181,Inguinal hernia,2508,0000023,0060320,0112151
182,Hypospadias,2508,0000047,10892,0112151
183,Microcephaly,2508,0000252,10907,0112151
184,Strabismus,2508,0000486,540,0112151
