,HPO_LABEL,OMIM,HPO,DOID_MAP,EDGES_TO_DOID
0,Neurogenic bladder,164200,0000011,12143,0060291
1,Cleft palate,164200,0000175,674,0060291
2,Microcephaly,164200,0000252,10907,0060291
3,Cleft lip,164200,0410030,9296,0060291
4,Glaucoma,164200,0000501,1686,0060291
5,Cataract,164200,0000518,83,0060291
6,Microphthalmia,164200,0000568,10629,0060291
7,Blepharophimosis,164200,0000581,10348,0060291
8,Brachydactyly,164200,0001156,0050581,0060291
9,Syndactyly,164200,0001159,11193,0060291
10,Intellectual disability,164200,0001249,1059,0060291
11,Basal ganglia calcification,164200,0002135,0060230,0060291
12,Hyperostosis,164200,0100774,205,0060291
13,Tooth agenesis,164200,0009804,0050591,0060291
14,Neurogenic bladder,617137,0000011,12143,0111787
15,Cryptorchidism,617137,0000028,11383,0111787
16,Cleft palate,617137,0000175,674,0111787
17,Cleft soft palate,617137,0000185,0110214,0111787
18,Intellectual disability,617137,0001249,1059,0111787
19,Patent ductus arteriosus,617137,0001643,13832,0111787
20,Patent foramen ovale,617137,0001655,13620,0111787
21,Ulcerative colitis,617137,0100279,8577,0111787
22,Pyloric stenosis,617137,0002021,12639,0111787
23,Colitis,617137,0002583,0060180,0111787
24,Scoliosis,617137,0002650,0060249,0111787
25,Tracheal stenosis,617137,0002777,3227,0111787
26,Neurogenic bladder,613612,0000011,12143,0070261
27,Microcephaly,613612,0000252,10907,0070261
28,Intellectual disability,613612,0001249,1059,0070261
29,Neurogenic bladder,222300,0000011,12143,0110629
30,Hydronephrosis,222300,0000126,11111,0110629
31,Ptosis,222300,0000508,0060260,0110629
32,Optic atrophy,222300,0000648,5723,0110629
33,Diabetes mellitus,222300,0000819,9351,0110629
34,Hypothyroidism,222300,0000821,1459,0110629
35,Diabetes insipidus,222300,0000873,9409,0110629
36,Intellectual disability,222300,0001249,1059,0110629
37,Cardiomyopathy,222300,0001638,0050700,0110629
38,Thrombocytopenia,222300,0001873,1588,0110629
39,Megaloblastic anemia,222300,0001889,13382,0110629
40,Anemia,222300,0001903,2355,0110629
41,Sideroblastic anemia,222300,0001924,8955,0110629
42,Glucose intolerance,222300,0001952,10603,0110629
43,Macrocytic anemia,222300,0001972,2361,0110629
44,Neurogenic bladder,176450,0000011,12143,0111546
45,Vesicoureteral reflux,176450,0000076,9620,0111546
46,Constipation,176450,0002019,2089,0111546
47,Teratoma,176450,0009792,3307,0111546
48,Anal fistula,176450,0010447,0060328,0111546
49,Neurogenic bladder,604928,0000011,12143,0110630
50,Amenorrhea,604928,0000141,13938,0110630
51,Optic atrophy,604928,0000648,5723,0110630
52,Diabetes mellitus,604928,0000819,9351,0110630
53,Glucose intolerance,604928,0001952,10603,0110630
54,Gastric ulcer,604928,0002592,10808,0110630
55,Neurogenic bladder,608779,0000011,12143,0070257
56,Hydronephrosis,608779,0000126,11111,0070257
57,Microcephaly,608779,0000252,10907,0070257
58,Hypertrichosis,608779,0000998,420,0070257
59,Cholestasis,608779,0001396,13580,0070257
60,Congestive heart failure,608779,0001635,6000,0070257
61,Hypoglycemia,608779,0001943,9993,0070257
62,Bladder diverticulum,194050,0000015,11353,1928
64,Inguinal hernia,194050,0000023,0060320,1928
66,Vesicoureteral reflux,194050,0000076,9620,1928
68,Renal hypoplasia,194050,0000089,0080204,1928
70,Nephrocalcinosis,194050,0000121,12679,1928
72,Otitis media,194050,0000388,10754,1928
74,Strabismus,194050,0000486,540,1928
76,Blepharophimosis,194050,0000581,10348,1928
78,Amblyopia,194050,0000646,10376,1928
80,Urethral obstruction,194050,0000796,12577,1928
82,Diabetes mellitus,194050,0000819,9351,1928
84,Hypothyroidism,194050,0000821,1459,1928
86,Hypertension,194050,0000822,10763,1928
88,Osteoporosis,194050,0000939,11476,1928
90,Cutis laxa,194050,0000973,3144,1928
92,Intellectual disability,194050,0001249,1059,1928
94,Cerebellar hypoplasia,194050,0001321,0070338,1928
96,Portal hypertension,194050,0001409,10762,1928
98,Obesity,194050,0001513,9970,1928
100,Umbilical hernia,194050,0001537,0060321,1928
102,Ventricular septal defect,194050,0001629,1657,1928
104,Mitral valve prolapse,194050,0001634,988,1928
106,Glucose intolerance,194050,0001952,10603,1928
108,Constipation,194050,0002019,2089,1928
110,Rectal prolapse,194050,0002035,9307,1928
112,Celiac disease,194050,0002608,10608,1928
114,Scoliosis,194050,0002650,0060249,1928
116,Radioulnar synostosis,194050,0002974,9827,1928
118,Hypercalcemia,194050,0003072,12678,1928
