,HPO_LABEL,OMIM,HPO,MESH,DOID
0,Bladder diverticulum,194050,0000015,C562406,1928
2,Vesicoureteral reflux,194050,0000076,D014718,1928
4,Renal insufficiency,194050,0000083,D051437,1928
6,Nephrocalcinosis,194050,0000121,D009397,1928
8,Otitis media,194050,0000388,D010033,1928
10,Strabismus,194050,0000486,D013285,1928
12,Blepharophimosis,194050,0000581,D016569,1928
14,Amblyopia,194050,0000646,D000550,1928
16,Anxiety,194050,0000739,D001007,1928
18,Urethral obstruction,194050,0000796,D014524,1928
20,Enuresis,194050,0000805,D004775,1928
22,Diabetes mellitus,194050,0000819,D003920,1928
24,Hypothyroidism,194050,0000821,D007037,1928
26,Hypertension,194050,0000822,D006973,1928
28,Osteoporosis,194050,0000939,D010024,1928
30,Cutis laxa,194050,0000973,D003483,1928
32,Intellectual disability,194050,0001249,D008607,1928
34,Stroke,194050,0001297,D020521,1928
36,Cerebellar hypoplasia,194050,0001321,C562568,1928
38,Failure to thrive,194050,0001508,D005183,1928
40,Obesity,194050,0001513,D009765,1928
42,Vocal cord paralysis,194050,0001605,D014826,1928
44,Mitral valve prolapse,194050,0001634,D008945,1928
46,Hallux valgus,194050,0001822,D006215,1928
48,Glucose intolerance,194050,0001952,D018149,1928
50,Constipation,194050,0002019,D003248,1928
52,Gastroesophageal reflux,194050,0002020,D005764,1928
54,Rectal prolapse,194050,0002035,D012005,1928
56,Hypercalciuria,194050,0002150,D053565,1928
58,Arnold-Chiari malformation,194050,0002308,D001139,1928
60,Hernia,194050,0100790,D006547,1928
62,Celiac disease,194050,0002608,D002446,1928
64,Scoliosis,194050,0002650,D012600,1928
66,Kyphosis,194050,0002808,D007738,1928
68,Radioulnar synostosis,194050,0002974,C562408,1928
70,Hypercalcemia,194050,0003072,D006934,1928
72,Paralysis,194050,0003470,D010243,1928
74,Hyperacusis,194050,0010780,D012001,1928
76,Food intolerance,194050,0012537,D000073923,1928
78,Vocal cord dysfunction,194050,0031801,D064706,1928
80,Bladder diverticulum,225400,0000015,C562406,0080734
81,Glaucoma,225400,0000501,D005901,0080734
82,Retinal detachment,225400,0000541,D012163,0080734
83,Myopia,225400,0000545,D009216,0080734
84,Keratoconus,225400,0000563,D007640,0080734
85,Blindness,225400,0000618,D001766,0080734
86,Osteoporosis,225400,0000939,D010024,0080734
87,Cutis laxa,225400,0000973,D003483,0080734
88,Arachnodactyly,225400,0001166,D054119,0080734
89,Talipes,225400,0001883,D000070558,0080734
90,Pneumonia,225400,0002090,D011014,0080734
91,Respiratory insufficiency,225400,0002093,D012131,0080734
92,Gastrointestinal hemorrhage,225400,0002239,D006471,0080734
93,Hernia,225400,0100790,D006547,0080734
94,Scoliosis,225400,0002650,D012600,0080734
95,Kyphosis,225400,0002808,D007738,0080734
96,Bladder diverticulum,304150,0000015,C562406,0111272
97,Hydronephrosis,304150,0000126,D006869,0111272
98,Pectus carinatum,304150,0000768,D066166,0111272
99,Osteoporosis,304150,0000939,D010024,0111272
100,Cutis laxa,304150,0000973,D003483,0111272
101,Diarrhea,304150,0002014,D003967,0111272
102,Exostoses,304150,0100777,D005096,0111272
103,Hernia,304150,0100790,D006547,0111272
104,Hypotension,304150,0002615,D007022,0111272
105,Coxa valga,304150,0002673,D060906,0111272
106,Kyphosis,304150,0002808,D007738,0111272
107,Genu valgum,304150,0002857,D056304,0111272
108,Ureteral obstruction,304150,0006000,D014517,0111272
109,Bladder diverticulum,614557,0000015,C562406,0080735
110,Cleft palate,614557,0000175,D002972,0080735
111,Cleft soft palate,614557,0000185,C562950,0080735
112,Myopia,614557,0000545,D009216,0080735
113,Muscle weakness,614557,0001324,D018908,0080735
114,Talipes,614557,0001883,D000070558,0080735
115,Hernia,614557,0100790,D006547,0080735
116,Scoliosis,614557,0002650,D012600,0080735
117,Kyphosis,614557,0002808,D007738,0080735
118,Aortic rupture,614557,0031649,D001019,0080735
119,Bladder diverticulum,604292,0000015,C562406,0060783
120,Cryptorchidism,604292,0000028,D003456,0060783
121,Ureterocele,604292,0000070,D014518,0060783
122,Vesicoureteral reflux,604292,0000076,D014718,0060783
123,Hydronephrosis,604292,0000126,D006869,0060783
124,Hypogonadism,604292,0000135,D007006,0060783
125,Cleft palate,604292,0000175,D002972,0060783
126,Xerostomia,604292,0000217,D014987,0060783
127,Cleft lip,604292,0410030,D002971,0060783
128,Choanal atresia,604292,0000453,D002754,0060783
129,Blepharitis,604292,0000498,D001762,0060783
130,Blepharophimosis,604292,0000581,D016569,0060783
131,Photophobia,604292,0000613,D020795,0060783
132,Dacryocystitis,604292,0000620,D003607,0060783
133,Urethral obstruction,604292,0000796,D014524,0060783
134,Diabetes insipidus,604292,0000873,D003919,0060783
135,Ectodermal dysplasia,604292,0000968,D004476,0060783
136,Syndactyly,604292,0001159,D013576,0060783
137,Intellectual disability,604292,0001249,D008607,0060783
138,Ectrodactyly,604292,0100257,C574275,0060783
139,Hypopituitarism,604292,0040075,D007018,0060783
140,Bladder diverticulum,617821,0000015,C562406,0080728
141,Breech presentation,617821,0001623,D001946,0080728
142,Hallux valgus,617821,0001822,D006215,0080728
143,Talipes,617821,0001883,D000070558,0080728
144,Scoliosis,617821,0002650,D012600,0080728
145,Kyphosis,617821,0002808,D007738,0080728
146,Hip dislocation,617821,0002827,D006617,0080728
147,Urinary retention,600072,0000016,D016055,0050433
148,Diplopia,600072,0000651,D004172,0050433
149,Dementia,600072,0000726,D003704,0050433
150,Hyperhidrosis,600072,0000975,D006945,0050433
151,Ataxia,600072,0001251,D001259,0050433
152,Dysarthria,600072,0001260,D004401,0050433
153,Myoclonus,600072,0001336,D009207,0050433
154,Weight loss,600072,0001824,D015431,0050433
155,Fever,600072,0001945,D005334,0050433
156,Constipation,600072,0002019,D003248,0050433
157,Apnea,600072,0002104,D001049,0050433
158,Nocturia,263800,0000017,D053158,0050450
159,Polyuria,263800,0000103,D011141,0050450
160,Enuresis,263800,0000805,D004775,0050450
161,Chondrocalcinosis,263800,0000934,D002805,0050450
162,Ataxia,263800,0001251,D001259,0050450
163,Tetany,263800,0001281,D013746,0050450
164,Muscle weakness,263800,0001324,D018908,0050450
165,Failure to thrive,263800,0001508,D005183,0050450
166,Tachycardia,263800,0001649,D013610,0050450
167,Fever,263800,0001945,D005334,0050450
168,Alkalosis,263800,0001948,D000471,0050450
169,Polydipsia,263800,0001959,D059606,0050450
170,Vomiting,263800,0002013,D014839,0050450
171,Constipation,263800,0002019,D003248,0050450
172,Abdominal pain,263800,0002027,D015746,0050450
173,Vertigo,263800,0002321,D014717,0050450
174,Hypotension,263800,0002615,D007022,0050450
175,Arthralgia,263800,0002829,D018771,0050450
176,Hypokalemia,263800,0002900,D007008,0050450
177,Rhabdomyolysis,263800,0003201,D012206,0050450
178,Paresthesia,263800,0003401,D010292,0050450
179,Paralysis,263800,0003470,D010243,0050450
180,Fatigue,263800,0012378,D005221,0050450
181,Pain,263800,0012531,D010146,0050450
182,Urinary incontinence,268800,0000020,D014549,3323
183,Macroglossia,268800,0000158,D008260,3323
184,Blindness,268800,0000618,D001766,3323
185,Hypohidrosis,268800,0000966,D007007,3323
186,Hyperhidrosis,268800,0000975,D006945,3323
187,Ataxia,268800,0001251,D001259,3323
188,Dysarthria,268800,0001260,D004401,3323
189,Muscle weakness,268800,0001324,D018908,3323
190,Cardiomegaly,268800,0001640,D006332,3323
191,Diarrhea,268800,0002014,D003967,3323
192,Abdominal pain,268800,0002027,D015746,3323
193,Hepatomegaly,268800,0002240,D006529,3323
194,Erectile dysfunction,268800,0100639,D007172,3323
195,Hypotension,268800,0002615,D007022,3323
196,Pain,268800,0012531,D010146,3323
197,Urinary incontinence,616688,0000020,D014549,0110181
198,Muscle weakness,616688,0001324,D018908,0110181
199,Ectrodactyly,616688,0100257,C574275,0110181
200,Myokymia,616688,0002411,D020385,0110181
201,Scoliosis,616688,0002650,D012600,0110181
202,Urinary incontinence,250100,0000020,D014549,10581
203,Optic atrophy,250100,0000648,D009896,10581
204,Hallucinations,250100,0000738,D006212,10581
205,Delusions,250100,0000746,D003702,10581
206,Cholecystitis,250100,0001082,D002764,10581
207,Intellectual disability,250100,0001249,D008607,10581
208,Ataxia,250100,0001251,D001259,10581
209,Dysarthria,250100,0001260,D004401,10581
210,Muscle weakness,250100,0001324,D018908,10581
211,Dystonia,250100,0001332,D004421,10581
212,Chorea,250100,0002072,D002819,10581
213,Urinary incontinence,182940,0000020,D014549,182940
218,Hydrocephalus,182940,0000238,D006849,182940
223,Anencephaly,182940,0002323,D000757,182940
228,Meningocele,182940,0002435,D008588,182940
233,Spina bifida occulta,182940,0003298,D016136,182940
238,Spinal dysraphism,182940,0010301,D016135,182940
243,Lipoma,182940,0012032,D008067,182940
248,Urinary incontinence,176450,0000020,D014549,0111546
249,Vesicoureteral reflux,176450,0000076,D014718,0111546
250,Rectovaginal fistula,176450,0000143,D012006,0111546
251,Constipation,176450,0002019,D003248,0111546
252,Rectal fistula,176450,0100590,D012003,0111546
253,Sepsis,176450,0100806,D018805,0111546
254,Intestinal fistula,176450,0100819,D007412,0111546
255,Vaginal fistula,176450,0004320,D014624,0111546
256,Abscess,176450,0025615,D000038,0111546
257,Teratoma,176450,0009792,D013724,0111546
258,Urinary incontinence,301025,0000020,D014549,0111843
259,Myopia,301025,0000545,D009216,0111843
260,Acidosis,301025,0001941,D000138,0111843
261,Urinary incontinence,300100,0000020,D014549,10588
262,Hypogonadism,300100,0000135,D007006,10588
263,Blindness,300100,0000618,D001766,10588
264,Dementia,300100,0000726,D003704,10588
265,Adrenal insufficiency,300100,0000846,D000309,10588
266,Ataxia,300100,0001251,D001259,10588
267,Muscle weakness,300100,0001324,D018908,10588
268,Alopecia,300100,0001596,D000505,10588
269,Erectile dysfunction,300100,0100639,D007172,10588
270,Paraparesis,300100,0002385,D020335,10588
271,Paraplegia,300100,0010550,D010264,10588
272,Urinary incontinence,615284,0000020,D014549,0110194
273,Microcephaly,615284,0000252,D008831,0110194
274,Strabismus,615284,0000486,D013285,0110194
275,Ophthalmoplegia,615284,0000602,D009886,0110194
276,Syndactyly,615284,0001159,D013576,0110194
277,Intellectual disability,615284,0001249,D008607,0110194
278,Muscle weakness,615284,0001324,D018908,0110194
