,HPO_LABEL,ORPHA,HPO,MESH,DOID
0,Bladder diverticulum,198,0000015,C562406,0111272
1,Pectus carinatum,198,0000768,D066166,0111272
2,Osteoporosis,198,0000939,D010024,0111272
3,Jaundice,198,0000952,D007565,0111272
4,Brachydactyly,198,0001156,D059327,0111272
5,Intellectual disability,198,0001249,D008607,0111272
6,Cholestasis,198,0001396,D002779,0111272
7,Gastroesophageal reflux,198,0002020,D005764,0111272
8,Hypothermia,198,0002045,D007035,0111272
9,Esophagitis,198,0100633,D004941,0111272
10,Exostoses,198,0100777,D005096,0111272
11,Hernia,198,0100790,D006547,0111272
12,Gastroparesis,198,0002578,D018589,0111272
13,Scoliosis,198,0002650,D012600,0111272
14,Coxa valga,198,0002673,D060906,0111272
15,Rickets,198,0002748,D012279,0111272
16,Osteomalacia,198,0002749,D010018,0111272
17,Osteolysis,198,0002797,D010014,0111272
18,Kyphosis,198,0002808,D007738,0111272
19,Coxa vara,198,0002812,D060905,0111272
20,Hip dislocation,198,0002827,D006617,0111272
21,Genu valgum,198,0002857,D056304,0111272
22,Venous insufficiency,198,0005293,D014689,0111272
23,Hepatitis,198,0012115,D006505,0111272
24,Bladder diverticulum,565,0000015,C562406,1838
25,Microcephaly,565,0000252,D008831,1838
26,Chondrocalcinosis,565,0000934,D002805,1838
27,Osteoporosis,565,0000939,D010024,1838
28,Jaundice,565,0000952,D007565,1838
29,Intellectual disability,565,0001249,D008607,1838
30,Muscle weakness,565,0001324,D018908,1838
31,Cholestasis,565,0001396,D002779,1838
32,Hypoglycemia,565,0001943,D007003,1838
33,Hypothermia,565,0002045,D007035,1838
34,Chorea,565,0002072,D002819,1838
35,Gastrointestinal hemorrhage,565,0002239,D006471,1838
36,Exostoses,565,0100777,D005096,1838
37,Hernia,565,0100790,D006547,1838
38,Sepsis,565,0100806,D018805,1838
39,Osteomyelitis,565,0002754,D010019,1838
40,Venous insufficiency,565,0005293,D014689,1838
41,Fatigue,565,0012378,D005221,1838
42,Urinary retention,976,0000016,D016055,0060350
43,Renal insufficiency,976,0000083,D051437,0060350
44,Proteinuria,976,0000093,D011507,0060350
45,Nephrolithiasis,976,0000787,D053040,0060350
46,Hematuria,976,0000790,D006417,0060350
47,Hypertension,976,0000822,D006973,0060350
48,Acute kidney injury,976,0001919,D058186,0060350
49,Abdominal pain,976,0002027,D015746,0060350
50,Dysuria,976,0100518,D053159,0060350
51,Oliguria,976,0100520,D009846,0060350
52,Atrial fibrillation,976,0005110,D001281,0060350
53,Pain,976,0012531,D010146,0060350
54,Flank pain,976,0030157,D021501,0060350
55,Urinary retention,2126,0000016,D016055,0080897
57,Diplopia,2126,0000651,D004172,0080897
59,Weight loss,2126,0001824,D015431,0080897
61,Hypoglycemia,2126,0001943,D007003,0080897
63,Fever,2126,0001945,D005334,0080897
65,Constipation,2126,0002019,D003248,0080897
67,Hypophosphatemia,2126,0002148,D017674,0080897
69,Rickets,2126,0002748,D012279,0080897
71,Back pain,2126,0003418,D001416,0080897
73,Low back pain,2126,0003419,D017116,0080897
75,Fatigue,2126,0012378,D005221,0080897
77,Pain,2126,0012531,D010146,0080897
79,Urinary retention,1328,0000016,D016055,4997
80,Hypogonadism,1328,0000135,D007006,4997
81,Glaucoma,1328,0000501,D005901,4997
82,Optic atrophy,1328,0000648,D009896,4997
83,Ataxia,1328,0001251,D001259,4997
84,Muscle weakness,1328,0001324,D018908,4997
85,Splenomegaly,1328,0001744,D013163,4997
86,Weight loss,1328,0001824,D015431,4997
87,Leukopenia,1328,0001882,D007970,4997
88,Anemia,1328,0001903,D000740,4997
89,Anorexia,1328,0002039,D000855,4997
90,Hepatomegaly,1328,0002240,D006529,4997
91,Hyperostosis,1328,0100774,D015576,4997
92,Scoliosis,1328,0002650,D012600,4997
93,Coxa valga,1328,0002673,D060906,4997
94,Kyphosis,1328,0002808,D007738,4997
95,Genu valgum,1328,0002857,D056304,4997
96,Cachexia,1328,0004326,D002100,4997
97,Pain,1328,0012531,D010146,4997
98,Urinary retention,79276,0000016,D016055,3890
99,Urinary incontinence,79276,0000020,D014549,3890
100,Renal insufficiency,79276,0000083,D051437,3890
101,Depression,79276,0000716,D003863,3890
102,Hallucinations,79276,0000738,D006212,3890
103,Anxiety,79276,0000739,D001007,3890
104,Delusions,79276,0000746,D003702,3890
105,Hypertension,79276,0000822,D006973,3890
106,Hyperhidrosis,79276,0000975,D006945,3890
107,Coma,79276,0001259,D003128,3890
108,Dysarthria,79276,0001260,D004401,3890
109,Confusion,79276,0001289,D003221,3890
110,Muscle weakness,79276,0001324,D018908,3890
111,Tremor,79276,0001337,D014202,3890
112,Dysphonia,79276,0001618,D055154,3890
113,Tachycardia,79276,0001649,D013610,3890
114,Fever,79276,0001945,D005334,3890
115,Diarrhea,79276,0002014,D003967,3890
116,Constipation,79276,0002019,D003248,3890
117,Abdominal pain,79276,0002027,D015746,3890
118,Respiratory insufficiency,79276,0002093,D012131,3890
119,Respiratory paralysis,79276,0002203,D012133,3890
120,Dysuria,79276,0100518,D053159,3890
121,Ileus,79276,0002595,D045823,3890
122,Hyponatremia,79276,0002902,D007010,3890
123,Back pain,79276,0003418,D001416,3890
124,Paralysis,79276,0003470,D010243,3890
125,Intestinal obstruction,79276,0005214,D007415,3890
126,Pain,79276,0012531,D010146,3890
127,Neck pain,79276,0030833,D019547,3890
128,Urinary retention,99949,0000016,D016055,0110183
129,Strabismus,99949,0000486,D013285,0110183
130,Exotropia,99949,0000577,D005099,0110183
131,Neuralgia,99949,0033345,D009437,0110183
132,Optic atrophy,99949,0000648,D009896,0110183
133,Ataxia,99949,0001251,D001259,0110183
134,Dysarthria,99949,0001260,D004401,0110183
135,Muscle weakness,99949,0001324,D018908,0110183
136,Tremor,99949,0001337,D014202,0110183
137,Failure to thrive,99949,0001508,D005183,0110183
138,Vocal cord paralysis,99949,0001605,D014826,0110183
139,Gait ataxia,99949,0002066,D020234,0110183
140,Respiratory insufficiency,99949,0002093,D012131,0110183
141,Trigeminal neuralgia,99949,0100661,D014277,0110183
142,Scoliosis,99949,0002650,D012600,0110183
143,Paresthesia,99949,0003401,D010292,0110183
144,Paralysis,99949,0003470,D010243,0110183
145,Anisocoria,99949,0009916,D015875,0110183
146,Pain,99949,0012531,D010146,0110183
147,Vocal cord dysfunction,99949,0031801,D064706,0110183
148,Nocturia,358,0000017,D053158,0050450
150,Urinary incontinence,358,0000020,D014549,0050450
152,Proteinuria,358,0000093,D011507,0050450
154,Tinnitus,358,0000360,D014012,0050450
156,Enuresis,358,0000805,D004775,0050450
158,Diabetes mellitus,358,0000819,D003920,0050450
160,Hyperthyroidism,358,0000836,D006980,0050450
162,Insulin resistance,358,0000855,D007333,0050450
164,Hyperaldosteronism,358,0000859,D006929,0050450
166,Chondrocalcinosis,358,0000934,D002805,0050450
168,Hyperhidrosis,358,0000975,D006945,0050450
170,Syncope,358,0001279,D013575,0050450
172,Muscle weakness,358,0001324,D018908,0050450
174,Arthritis,358,0001369,D001168,0050450
176,Failure to thrive,358,0001508,D005183,0050450
178,Ventricular fibrillation,358,0001663,D014693,0050450
180,Pericardial effusion,358,0001698,D010490,0050450
182,Anemia,358,0001903,D000740,0050450
