,HPO_ID,hpo,node_id,node_name,HPO_LABEL,disease_id,OMIM,DOID
0,HP:0001067,Neurofibromas,C0027830,Neurofibroma,Neurofibromas,OMIM:606764,606764,9253
3,HP:0001067,Neurofibromas,DOID:962,neurofibroma,Neurofibromas,OMIM:606764,606764,9253
6,HP:0002015,Dysphagia,C0011168,Dysphagia,Dysphagia,OMIM:606764,606764,9253
9,HP:0004796,Gastrointestinal obstruction,C0236124,Gastrointestinal obstruction,Gastrointestinal obstruction,OMIM:606764,606764,9253
12,HP:0005214,Intestinal obstruction,C0021843,Intestinal obstruction,Intestinal obstruction,OMIM:606764,606764,9253
15,HP:0005214,Intestinal obstruction,DOID:8437,intestinal obstruction,Intestinal obstruction,OMIM:606764,606764,9253
18,HP:0100723,Gastrointestinal stroma tumor,DOID:9253,gastrointestinal stromal tumor,Gastrointestinal stroma tumor,OMIM:606764,606764,9253
21,HP:0100723,Gastrointestinal stroma tumor,C0238198,Gastrointestinal stromal tumour,Gastrointestinal stroma tumor,OMIM:606764,606764,9253
24,HP:0001025,Urticaria,C0042109,Urticaria,Urticaria,OMIM:606764,606764,9253
27,HP:0001025,Urticaria,DOID:1555,urticaria,Urticaria,OMIM:606764,606764,9253
30,HP:0100242,Sarcoma,C1261473,Sarcoma,Sarcoma,OMIM:606764,606764,9253
33,HP:0100242,Sarcoma,DOID:1115,sarcoma,Sarcoma,OMIM:606764,606764,9253
36,HP:0011458,Abdominal symptom,C0740651,Abdominal symptom,Abdominal symptom,OMIM:606764,606764,9253
39,HP:0002664,Neoplasm,C0027651,Neoplasm,Neoplasm,OMIM:606764,606764,9253
42,HP:0010614,Fibroma,C0016045,Fibroma,Fibroma,OMIM:606764,606764,9253
45,HP:0010614,Fibroma,DOID:0050871,fibroma,Fibroma,OMIM:606764,606764,9253
48,HP:0002019,Constipation,C0009806,Constipation,Constipation,OMIM:606764,606764,9253
51,HP:0002019,Constipation,D003248,Constipation,Constipation,OMIM:606764,606764,9253
54,HP:0002019,Constipation,DOID:2089,constipation,Constipation,OMIM:606764,606764,9253
57,HP:0001067,Neurofibromas,C0027830,Neurofibroma,Neurofibromas,OMIM:601321,601321,0111683
58,HP:0001067,Neurofibromas,DOID:962,neurofibroma,Neurofibromas,OMIM:601321,601321,0111683
