,HPO_ID,hpo,node_id,node_name,HPO_LABEL,disease_id,ORPHA,DOID
0,HP:0001067,Neurofibromas,C0027830,Neurofibroma,Neurofibromas,ORPHA:2495,2495,3565
12,HP:0001067,Neurofibromas,DOID:962,neurofibroma,Neurofibromas,ORPHA:2495,2495,3565
24,HP:0002354,Memory impairment,C0233794,Memory impairment,Memory impairment,ORPHA:2495,2495,3565
36,HP:0001342,Cerebral hemorrhage,C2937358,Cerebral haemorrhage,Cerebral hemorrhage,ORPHA:2495,2495,3565
48,HP:0000505,Visual impairment,C3665347,Visual impairment,Visual impairment,ORPHA:2495,2495,3565
60,HP:0000602,Ophthalmoplegia,C0029089,Ophthalmoplegia,Ophthalmoplegia,ORPHA:2495,2495,3565
72,HP:0000602,Ophthalmoplegia,D009886,Ophthalmoplegia,Ophthalmoplegia,ORPHA:2495,2495,3565
84,HP:0000602,Ophthalmoplegia,DOID:539,ophthalmoplegia,Ophthalmoplegia,ORPHA:2495,2495,3565
96,HP:0100543,Cognitive impairment,C0338656,Cognitive impairment,Cognitive impairment,ORPHA:2495,2495,3565
108,HP:0040075,Hypopituitarism,C0020635,Hypopituitarism,Hypopituitarism,ORPHA:2495,2495,3565
120,HP:0040075,Hypopituitarism,DOID:9406,hypopituitarism,Hypopituitarism,ORPHA:2495,2495,3565
132,HP:0001288,Gait disturbance,C0575081,Gait disturbance,Gait disturbance,ORPHA:2495,2495,3565
144,HP:0012531,Pain,C0030193,Pain,Pain,ORPHA:2495,2495,3565
156,HP:0012531,Pain,D010146,Pain,Pain,ORPHA:2495,2495,3565
168,HP:0000618,Blindness,C0456909,Blindness,Blindness,ORPHA:2495,2495,3565
180,HP:0000618,Blindness,D001766,Blindness,Blindness,ORPHA:2495,2495,3565
192,HP:0000618,Blindness,DOID:1432,blindness,Blindness,ORPHA:2495,2495,3565
204,HP:0001279,Syncope,C0039070,Syncope,Syncope,ORPHA:2495,2495,3565
216,HP:0001279,Syncope,D013575,Syncope,Syncope,ORPHA:2495,2495,3565
228,HP:0001324,Muscle weakness,D018908,Muscle Weakness,Muscle weakness,ORPHA:2495,2495,3565
