HPO_ID,hpo,node_id,node_name,node_type,similarity
HP:0003113,Hypochloremia,C0085680,Hypochloraemia,SideEffect,96
HP:0001067,Neurofibromas,C0027830,Neurofibroma,SideEffect,96
HP:0001067,Neurofibromas,DOID:962,neurofibroma,Disease,96
HP:0004409,Hyposmia,C2364082,Hyposmia,SideEffect,100
HP:0001386,Joint swelling,C0152031,Joint swelling,SideEffect,100
HP:0032192,Hydatidiform mole,C0020217,Hydatidiform mole,SideEffect,100
HP:0032192,Hydatidiform mole,C0549315,Benign hydatidiform mole,SideEffect,95
HP:0000966,Hypohidrosis,C0020620,Hypohidrosis,SideEffect,100
HP:0000966,Hypohidrosis,DOID:11155,hypohidrosis,Disease,100
HP:0002671,Basal cell carcinoma,C0007117,Basal cell carcinoma,SideEffect,100
HP:0002671,Basal cell carcinoma,DOID:2513,basal cell carcinoma,Disease,100
HP:0002671,Basal cell carcinoma,DOID:4280,nodular basal cell carcinoma,Disease,95
HP:0002671,Basal cell carcinoma,DOID:4301,vulva basal cell carcinoma,Disease,95
HP:0002671,Basal cell carcinoma,DOID:4302,cystic basal cell carcinoma,Disease,95
HP:0002671,Basal cell carcinoma,DOID:4278,scrotum basal cell carcinoma,Disease,95
HP:0002671,Basal cell carcinoma,DOID:4277,penis basal cell carcinoma,Disease,95
HP:0002671,Basal cell carcinoma,DOID:4294,adenoid basal cell carcinoma,Disease,95
HP:0040146,D-2-hydroxyglutaric acidemia,DOID:0050575,D-2-hydroxyglutaric aciduria,Disease,93
HP:0008255,Transient neonatal diabetes mellitus,DOID:0060334,transient neonatal diabetes mellitus,Disease,100
HP:0008255,Transient neonatal diabetes mellitus,DOID:0060639,permanent neonatal diabetes mellitus,Disease,92
HP:0002586,Peritonitis,C0031154,Peritonitis,SideEffect,100
HP:0002586,Peritonitis,DOID:8283,peritonitis,Disease,100
HP:0001319,Neonatal hypotonia,C2267233,Hypotonia neonatal,SideEffect,95
HP:0001900,Increased hemoglobin,C0549448,Haemoglobin increased,SideEffect,93
HP:0030955,Alcoholism,C0001973,Alcoholism,SideEffect,100
HP:0001680,Coarctation of aorta,C0003492,Coarctation of the aorta,SideEffect,95
HP:0000023,Inguinal hernia,C0019294,Inguinal hernia,SideEffect,100
HP:0000023,Inguinal hernia,DOID:0060320,inguinal hernia,Disease,100
HP:0012197,Insulinoma,C0021670,Insulinoma,SideEffect,100
HP:0012197,Insulinoma,DOID:3892,insulinoma,Disease,100
HP:0002490,Increased CSF lactate,C0860752,Lactate increased,SideEffect,95
HP:0002015,Dysphagia,C0011168,Dysphagia,SideEffect,100
HP:0001706,Endocardial fibroelastosis,DOID:12929,endocardial fibroelastosis,Disease,100
HP:0001131,Corneal dystrophy,C0010036,Corneal dystrophy,SideEffect,100
HP:0001131,Corneal dystrophy,DOID:2566,corneal dystrophy,Disease,100
HP:0001131,Corneal dystrophy,DOID:2565,macular corneal dystrophy,Disease,95
HP:0001131,Corneal dystrophy,DOID:0060448,Fleck corneal dystrophy,Disease,95
HP:0001131,Corneal dystrophy,DOID:8943,lattice corneal dystrophy,Disease,95
HP:0100033,Tics,D020323,Tics,Symptom,100
HP:0011459,Esophageal carcinoma,DOID:1107,esophageal carcinoma,Disease,100
HP:0011459,Esophageal carcinoma,C0152018,Oesophageal carcinoma,SideEffect,98
HP:0008020,Cone dystrophy,DOID:0050795,cone dystrophy,Disease,100
HP:0008020,Cone dystrophy,DOID:0111005,cone-rod dystrophy 2,Disease,95
HP:0008020,Cone dystrophy,DOID:0111009,cone-rod dystrophy 1,Disease,95
HP:0008020,Cone dystrophy,DOID:0111020,cone-rod dystrophy 9,Disease,95
HP:0008020,Cone dystrophy,DOID:0050572,cone-rod dystrophy,Disease,95
HP:0008020,Cone dystrophy,DOID:0111010,cone-rod dystrophy 5,Disease,95
HP:0008020,Cone dystrophy,DOID:0111011,cone-rod dystrophy 6,Disease,95
HP:0008020,Cone dystrophy,DOID:0111012,cone-rod dystrophy 7,Disease,95
HP:0008020,Cone dystrophy,DOID:0111013,cone-rod dystrophy 3,Disease,95
HP:0008020,Cone dystrophy,DOID:0111014,cone-rod dystrophy 8,Disease,95
HP:0012777,Retinal neoplasm,C0022665,Renal neoplasm,SideEffect,93
HP:0005144,Ventricular septal hypertrophy,C0340279,Ventricular hypertrophy,SideEffect,95
HP:0007305,CNS demyelination,C0011304,Demyelination,SideEffect,95
HP:0000099,Glomerulonephritis,C0017658,Glomerulonephritis,SideEffect,100
HP:0000099,Glomerulonephritis,DOID:2921,glomerulonephritis,Disease,100
HP:0000099,Glomerulonephritis,DOID:2986,IgA glomerulonephritis,Disease,95
HP:0000099,Glomerulonephritis,DOID:4781,diffuse glomerulonephritis,Disease,95
HP:0001260,Dysarthria,C0013362,Dysarthria,SideEffect,100
HP:0001260,Dysarthria,D004401,Dysarthria,Symptom,100
HP:0002511,Alzheimer disease,DOID:0111364,Alzheimer's disease 9,Disease,95
HP:0002511,Alzheimer disease,DOID:0110051,Alzheimer's disease 19,Disease,95
HP:0002511,Alzheimer disease,DOID:0110050,Alzheimer's disease 18,Disease,95
HP:0002511,Alzheimer disease,DOID:0110035,Alzheimer's disease 2,Disease,95
HP:0002511,Alzheimer disease,DOID:0110037,Alzheimer's disease 5,Disease,95
HP:0002511,Alzheimer disease,DOID:0110036,Alzheimer's disease 16,Disease,95
HP:0002511,Alzheimer disease,DOID:0110039,Alzheimer's disease 7,Disease,95
HP:0002511,Alzheimer disease,DOID:0110044,Alzheimer's disease 11,Disease,95
HP:0002511,Alzheimer disease,DOID:0080348,Alzheimer's disease 1,Disease,95
HP:0002511,Alzheimer disease,DOID:0110038,Alzheimer's disease 6,Disease,95
HP:0002511,Alzheimer disease,DOID:0110045,Alzheimer's disease 12,Disease,95
HP:0002511,Alzheimer disease,DOID:0110046,Alzheimer's disease 13,Disease,95
HP:0002511,Alzheimer disease,DOID:0110047,Alzheimer's disease 14,Disease,95
HP:0002511,Alzheimer disease,DOID:0110042,Alzheimer's disease 3,Disease,95
HP:0002511,Alzheimer disease,DOID:0110043,Alzheimer's disease 10,Disease,95
HP:0002511,Alzheimer disease,DOID:0110048,Alzheimer's disease 15,Disease,95
HP:0002511,Alzheimer disease,DOID:0110049,Alzheimer's disease 17,Disease,95
HP:0002511,Alzheimer disease,DOID:10652,Alzheimer's disease,Disease,95
HP:0002511,Alzheimer disease,DOID:0110040,Alzheimer's disease 4,Disease,95
HP:0002511,Alzheimer disease,DOID:0110041,Alzheimer's disease 8,Disease,95
HP:0001923,Reticulocytosis,C0206160,Reticulocytosis,SideEffect,100
HP:0001923,Reticulocytosis,D045262,Reticulocytosis,Symptom,100
HP:0003477,Peripheral axonal neuropathy,C0031117,Neuropathy peripheral,SideEffect,95
HP:0002917,Hypomagnesemia,C0151723,Hypomagnesaemia,SideEffect,97
HP:0001649,Tachycardia,C0039231,Tachycardia,SideEffect,100
HP:0005537,Decreased mean platelet volume,C1096368,Mean platelet volume decreased,SideEffect,95
HP:0000362,Otosclerosis,DOID:12185,otosclerosis,Disease,100
HP:0000362,Otosclerosis,C0029464,Osteosclerosis,SideEffect,92
HP:0000362,Otosclerosis,DOID:4254,osteosclerosis,Disease,92
HP:0012493,Middle cerebral artery stenosis,C1504438,Cerebral artery stenosis,SideEffect,95
HP:0002415,Leukodystrophy,DOID:10579,leukodystrophy,Disease,100
HP:0009806,Nephrogenic diabetes insipidus,C0162283,Nephrogenic diabetes insipidus,SideEffect,100
HP:0009806,Nephrogenic diabetes insipidus,DOID:12387,nephrogenic diabetes insipidus,Disease,100
HP:0002512,Brain stem compression,DOID:11457,brain compression,Disease,95
HP:0004836,Acute promyelocytic leukemia,DOID:0060318,acute promyelocytic leukemia,Disease,100
HP:0004836,Acute promyelocytic leukemia,C0023487,Acute promyelocytic leukaemia,SideEffect,98
